C:\Users\tribo2023 1.4 s1.mnt
2023/07/28;22:36:43

Name;Value;Unit;Context;Frame Number;Studiable name;
Długość;1.089500052;mm;;2;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.253417886;µm;;3;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;282.7722199;µm²;;3;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1586914004;µm;;3;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;3.316650427;µm²;;3;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;4;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.237548746;µm;;5;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;294.3011506;µm²;;5;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.2380371006;µm;;5;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;2.777099639;µm²;;5;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;6;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.523193267;µm;;7;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;267.4664336;µm²;;7;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1269531203;µm;;7;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.8489990326;µm²;;7;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;8;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.332763586;µm;;9;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;312.1380649;µm²;;9;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.09521484026;µm;;9;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.8251953214;µm²;;9;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;10;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.761474545;µm;;11;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;295.6658968;µm²;;11;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.07934570021;µm;;11;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.4681396535;µm²;;11;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;12;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.809081965;µm;;13;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;303.2830843;µm²;;13;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1269531203;µm;;13;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;1.690063495;µm²;;13;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;14;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.253417886;µm;;15;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;310.3369174;µm²;;15;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.04760742013;µm;;15;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.2539062527;µm²;;15;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;16;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;3.062744028;µm;;17;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;329.9115026;µm²;;17;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.09521484026;µm;;17;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.9600830182;µm²;;17;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;18;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.158203046;µm;;19;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;313.4869419;µm²;;19;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.04760742013;µm;;19;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.07141113359;µm²;;19;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;20;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.316894446;µm;;21;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;276.7181426;µm²;;21;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.2062988206;µm;;21;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;2.59460452;µm²;;21;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;22;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.062988206;µm;;23;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;313.5107456;µm²;;23;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1269531203;µm;;23;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.8489990326;µm²;;23;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;24;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.967773365;µm;;25;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;244.297488;µm²;;25;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.06347656017;µm;;25;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.3253173863;µm²;;25;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;26;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.142333906;µm;;27;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;306.853641;µm²;;27;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.03173828009;µm;;27;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.1110839856;µm²;;27;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;28;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.666259705;µm;;29;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
