C:\Users\mariu\Desktop\Nauka\Badania\Tribo 2023\profile 3D\tribo2023 3.5 s1.mnt
2023/07/31;11:13:08

Name;Value;Unit;Context;Frame Number;Studiable name;
Długość;1.089000052;mm;;2;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.539306584;µm;;3;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;284.5098908;µm²;;3;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.07934570021;µm;;3;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0.5554199279;µm²;;3;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;4;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.523437444;µm;;5;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;273.2983428;µm²;;5;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1110839803;µm;;5;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0.6347656319;µm²;;5;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;6;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.443847567;µm;;7;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;281.7089874;µm²;;7;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1269531203;µm;;7;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;1.007690441;µm²;;7;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;8;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.539306584;µm;;9;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;273.607791;µm²;;9;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1586914004;µm;;9;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;1.237792982;µm²;;9;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;10;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.872558525;µm;;11;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;265.2288847;µm²;;11;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1428222604;µm;;11;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0.7855224694;µm²;;11;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;12;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.555175724;µm;;13;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;289.3103059;µm²;;13;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.2539062407;µm;;13;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;6.284179755;µm²;;13;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;14;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.428222604;µm;;15;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;243.0676296;µm²;;15;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.2539062407;µm;;15;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;4.022827192;µm²;;15;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;16;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.459960884;µm;;17;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;252.6843289;µm²;;17;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.03173828009;µm;;17;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0.03967285199;µm²;;17;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;18;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.888427665;µm;;19;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;294.055179;µm²;;19;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.03173828009;µm;;19;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0.1348876968;µm²;;19;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;20;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.793212825;µm;;21;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;256.9848661;µm²;;21;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.01586914004;µm;;21;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0.007934570398;µm²;;21;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;22;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
