C:\Users\Tribo2023_4_4_s1.mnt
2023/07/31;11:13:30

Name;Value;Unit;Context;Frame Number;Studiable name;
Długość;1.091500052;mm;;2;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.936035085;µm;;3;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;298.6492952;µm²;;3;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1904296805;µm;;3;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;2.18994143;µm²;;3;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;4;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.936035085;µm;;5;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;251.3195828;µm²;;5;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.2221679606;µm;;5;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;2.523193387;µm²;;5;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;6;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.650390564;µm;;7;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;275.3613311;µm²;;7;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1586914004;µm;;7;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;2.483520535;µm²;;7;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;8;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.809081965;µm;;9;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;260.9918241;µm²;;9;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.06347656017;µm;;9;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.2062988304;µm²;;9;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;10;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.443847567;µm;;11;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;255.5328397;µm²;;11;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1269531203;µm;;11;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.9045410254;µm²;;11;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;12;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.523437444;µm;;13;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;235.7440211;µm²;;13;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.2380371006;µm;;13;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;3.491210975;µm²;;13;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;14;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.618652284;µm;;15;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;253.6999539;µm²;;15;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1110839803;µm;;15;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.4919433647;µm²;;15;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;16;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.427978427;µm;;17;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;307.4804721;µm²;;17;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0;µm;;17;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0;µm²;;17;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;18;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.650390564;µm;;19;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;274.0283233;µm²;;19;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.06347656017;µm;;19;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.1507568376;µm²;;19;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;20;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.682128845;µm;;21;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;274.5678741;µm²;;21;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.07934570021;µm;;21;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.1269531264;µm²;;21;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;22;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.666259705;µm;;23;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
